,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2020-06-20,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,,,,,,,,,1614090085.0,,,,,,,25000000.0,,0.999999719374,158.723088600101,,4.454181899999999e-05,,,,,,,,,,,0.0,157500.0,157500.0,157500.0,157500.0,157500.0,157500.0,157500.0,157500.0,157500.0,157500.0,157500.0,157500.0,0.63,24999992.984350964,25000000.0,25000000.0,24999992.984350964,25000000.0,25000000.0,24999992.984350964,24999992.984350964,25000000.0,25000000.0,25000000.0,25000000.0,24999992.984350964,24999992.984350964,24999992.984350964,24999992.984350964,24999992.984350964,24842500.0,,,,,,,,,25000000.0,24842500.0,24842500.0,25000000.0,7.01564903986925,2.0,2.3148148e-05,2.0,157507.01564903988,,78753.50782451994,,78753.50782451993,,0.006300280625999999,,
1,2020-06-21,103.0,103.0,103.0,103.0,103.0,103.0,103.0,99.0,103.0,103.0,103.0,103.0,103.0,103.0,83.0,103.0,103.0,103.0,103.0,3.0,,,,,,,,,1614090110.0,,,,,,,0.0,,1.0,1.118943717131,,0.254560009652,,,,,,,,,,,0.0,22500000.0,22500000.0,22500000.0,22500000.0,22500000.0,22500000.0,22500000.0,22500000.0,22500000.0,22500000.0,22500000.0,22500000.0,90.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,24937500.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,24149992.984350964,25000000.0,25000000.0,6062500.0,,,,,,,,,24958333.0,9125000.0,2500000.0,25000000.0,5687507.01564904,1.0,1.1574074e-05,102.0,22342500.0,,438088.23529412,,125000.0,,1.7937002806259998,,
2,2020-06-22,3.0,105.0,105.0,105.0,105.0,105.0,105.0,99.0,105.0,105.0,105.0,105.0,105.0,105.0,85.0,105.0,105.0,105.0,105.0,5.0,,,,,,,,,1614090136.0,,,,,,,10000000.0,,1.0,,,,,,,,,,,,,,0.0,22500000.0,22500000.0,22290000.0,22500000.0,22500000.0,22500000.0,22500000.0,22500000.0,22500000.0,22500000.0,22500000.0,22500000.0,64.2857142857,35000000.0,35000000.0,35000000.0,35000000.0,35000000.0,35000000.0,34875000.0,35000000.0,35000000.0,35000000.0,35000000.0,35000000.0,35000000.0,35000000.0,34149992.98435097,35000000.0,35000000.0,16062500.0,,,,,,,,,34906250.0,18375000.0,5000000.0,35000000.0,5687507.01564904,0.0,0.0,0.0,0.0,,,,,,1.281214486161,,
3,2020-06-23,1968.0,229.0,1357.0,1691.0,127.0,1009.0,1532.0,100.0,516.0,1839.0,1768.0,1595.0,1469.0,340.0,83.0,787.0,111.0,1232.0,169.0,5.0,,,,,,,,,1614090163.0,,,,,,,435000.0,,0.995751313994,29.035514455179996,,5.016528488536999,,,,,,,,,,,2.6499938e-05,22934914.08638522,22934914.08638522,766300.736449233,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,64.7239003426,35396782.84417016,35434968.91865975,35434999.81911297,35284447.81138228,35434433.56383589,35434997.8920842,34984035.08698329,35427718.716622,35434999.98085442,35434999.20838567,35434993.7335632,35434888.40463411,35433069.44914687,35417344.38941749,34075422.99321794,35196777.464235954,35360990.52038607,16062500.0,,,,,,,,,34984035.08698329,35372525.1350983,21375000.0,35435000.0,6122181.415649039,2737.0,0.031678240741,9465.0,1220402.003026284,,254.73266505042062,,10.0,,1.333527633423,,
4,2020-06-24,1601.0,258.0,1744.0,2187.0,132.0,1310.0,1951.0,100.0,666.0,2442.0,2314.0,2023.0,1870.0,451.0,83.0,1047.0,109.0,1590.0,183.0,5.0,,,,,,,,,1614090191.0,,,,,,,0.0,,0.9943511566840001,50.216244350138,,8.669622567292,,,,,,,,,,,2.9745585e-05,22934914.08638522,22934914.08638522,1026717.7364492328,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,64.7239003426,35377175.20039815,35434964.59463625,35434999.69453711,35234833.23710356,35434297.26055034,35434997.12132379,34905540.80157922,35425698.84697303,35434999.97112031,35434998.60669075,35434991.88590367,35434866.03976457,35432724.48131463,35412565.76535917,33995099.52375634,35100594.59737432,35330439.229337245,16062500.0,,,,,,,,,34905540.80157922,35371817.38883327,23625000.0,35435000.0,6117703.138649038,3786.0,0.043819444444,9989.0,705648.1514811384,,122.06591126763603,,12.441963568563613,,1.367937578044,,
5,2020-06-25,833.0,265.0,1734.0,2230.0,140.0,1294.0,1949.0,96.0,618.0,2524.0,2373.0,2021.0,1863.0,425.0,80.0,1025.0,106.0,1573.0,196.0,5.0,1158.0,121.0,1663.0,234.0,7.0,1915.0,519.0,83.0,1614090210.0,393507293.08011514,35.582641323386,6.14319278977,607978337.2099645,104964892.95273101,17086374.55225617,0.0,0.0,0.9942109045309999,47.148200755964005,,8.139937794451999,,0.0018554493666121266,17.1575656049094,,,,,,,,2.9521929999999998e-05,22934914.08638522,22934914.08638522,1094923.5149025333,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,64.7239003426,35384401.356605045,35434963.76406644,35434999.6495366,35229863.40204439,35434288.953170866,35434996.75939264,34802606.44653825,35425283.470320396,35434999.969642654,35434998.25638445,35434991.17720532,35434860.887117065,35432663.77690309,35413664.99057936,33931518.83693289,35023978.57795702,35339883.85365512,16062500.0,35434995.12457181,35434930.15358552,35433658.74352894,35140061.24671988,35370035.24683035,17250000.0,35420678.62341897,34155608.896932885,34924362.276851706,35379344.20083173,24085377.519030932,35435000.0,6117703.138649038,1573.0,0.018206018519,3749.0,751566.3255827916,12895048.537627442,382.0267409008959,6554.648869836844,17.27,296.31115799678537,1.408355759267,,
6,2020-06-26,699.0,270.0,1758.0,2295.0,143.0,1300.0,1976.0,94.0,629.0,2617.0,2444.0,2051.0,1889.0,432.0,79.0,1033.0,108.0,1583.0,198.0,5.0,1064.0,113.0,1619.0,213.0,5.0,1906.0,457.0,80.0,1614090225.0,280377515.1131875,25.047774731053,4.324914248437,433190079.13500714,74797460.67860363,17294553.45979157,0.0,0.0,0.994335548408,73.569718350993,,12.703033565502,,0.0013346802940306446,12.2249210987726,,,17.1575656049094,0.00185544936661213,0.0738209307644641,15.3081888899222,17.1575656049094,2.9396890000000002e-05,22934914.08638522,22934914.08638522,1332302.9605119661,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,64.7239003426,35383461.26336691,35434963.10570491,35434999.62833011,35234280.15783813,35434278.86967892,35434996.397001825,34743242.5693936,35425387.75470764,35434999.96563067,35434997.984071195,35434990.80750413,35434851.67256469,35432686.89882993,35413640.43132881,33922154.95978823,35035582.88521683,35339274.77125236,16062500.0,35434992.360341445,35434884.32768837,35432972.942047276,35079489.40141076,35352752.97743879,16062500.0,35415952.208908126,34021245.01978823,34914507.77391806,35380116.0355035,24530837.353953887,35435000.0,6118441.18045992,1557.0,0.018020833333,3757.0,481651.9730433615,5888157.367523241,234.85881571000652,2871.130491406004,18.0,220.0485797779068,1.433256692543,,
7,2020-06-27,477.0,274.0,1795.0,2358.0,138.0,1334.0,2016.0,93.0,639.0,2686.0,2507.0,2091.0,1928.0,436.0,77.0,1058.0,107.0,1621.0,198.0,5.0,1087.0,109.0,1644.0,209.0,5.0,1940.0,454.0,79.0,1614090241.0,263304274.46654898,21.943298749583,3.788874917584,406811507.14494336,70242762.18429765,18539213.80679688,0.0,0.0,0.993982847548,111.53108394008001,,19.257693717520002,,0.0012753042096736965,11.480499707773198,,,12.2249210987726,0.00133468029403065,0.0532226013303563,10.9111009468894,12.2249210987726,2.9563678e-05,22934914.08638522,22934914.08638522,1332542.7938083338,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,64.7239003426,35383225.810421646,35434962.8164227,35434999.62730998,35221782.20287976,35434270.5855823,35434996.221512176,34756112.93847755,35424879.509555586,35434999.96286327,35434997.80858153,35434990.53813742,35434851.502186134,35432601.42092387,35412945.554367445,33837613.42049758,35048585.87140621,35335634.70191993,16062500.0,35434991.67287502,35434873.19954955,35432872.02195452,35066257.45671241,35345998.138150305,16062500.0,35414642.87763809,34034115.38887219,34950697.425042726,35381022.96127005,24672654.526467204,35435000.0,6118441.18045992,833.0,0.009641203704,2083.0,317714.1183263079,3647516.842600597,274.68212590234504,3153.4880661523944,17.42,199.99030490940913,1.449403521053,,
8,2020-06-28,431.0,280.0,1790.0,2364.0,137.0,1336.0,2012.0,93.0,647.0,2704.0,2516.0,2086.0,1925.0,441.0,77.0,1061.0,109.0,1621.0,203.0,5.0,1101.0,109.0,1647.0,216.0,5.0,1939.0,464.0,79.0,1614090257.0,269198554.0889465,21.87804225925,3.777607300884,415918312.5,71815203.35564834,19010764.654874373,0.0,0.0,0.9936381303210001,349.123800366297,,60.282021652034,,0.0012886929474787805,11.7375,,,11.480499707773198,0.0012753042096737,0.0520187074447517,10.2631752871089,11.480499707773198,2.8572932e-05,22934914.08638522,22934914.08638522,1142397.7679864815,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22724914.08638522,22934914.08638522,22934914.08638522,64.7239003426,35383226.081078276,35434962.281972796,35434999.62173213,35209567.1479079,35434284.29511577,35434996.14965302,34744322.45034046,35424839.248357885,35434999.96230976,35434997.71601183,35434990.484074496,35434855.00580388,35432596.91319299,35412727.10488892,33828222.9323605,35057178.738752134,35335107.54726193,16062500.0,35434991.80021684,35434879.23068161,35432965.4039401,35057178.738752134,35347204.75504669,16062500.0,35414879.88779924,34022324.90073511,34939072.63626842,35379415.59797965,25048353.153643057,35435000.0,6118441.18045992,744.0,0.008611111111,1544.0,101496.94739465471,1191320.4200447593,101.30337917500371,1189.0484130666055,16.58223431095572,194.6339752248428,1.453817586735,,
9,2020-06-29,547.0,276.0,1770.0,2366.0,135.0,1333.0,1990.0,93.0,649.0,2721.0,2528.0,2065.0,1904.0,443.0,77.0,1063.0,106.0,1606.0,200.0,5.0,1072.0,106.0,1614.0,204.0,5.0,1907.0,450.0,78.0,1614090271.0,238752455.6392701,20.41993864275,3.525841498357,368878350.0,63692972.68858778,18064615.98409162,0.0,0.0,0.9938146192980001,235.341451001228,,40.635609574576,,0.001133462502134222,10.41,,,11.7375,0.00128869294747878,0.0522960213015623,10.467183527998001,11.7375,2.7635695e-05,22934914.08638522,22934914.08638522,1122263.02033654,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,22934914.08638522,1847550.7364492323,22934914.08638522,22934914.08638522,64.7239003426,35382495.73393152,35434962.41946855,35434999.596890606,35215821.034827076,35434307.341416776,35434995.93368275,34776374.407153375,35424924.72261156,35434999.95856623,35434997.52442954,35434990.34442834,35434858.528742515,35432654.50729627,35412708.04505643,33861274.88917341,35056604.28816226,35334645.4880644,16062500.0,35434990.63766377,35434866.44949783,35432742.62126859,35056604.28816226,35338562.070859715,16062500.0,35413398.520886116,33960364.949173406,34972559.17409001,35381038.25742451,25063910.66159376,35435000.0,6118441.18045992,1150.0,0.013310185185,2425.0,150568.4606313366,1567417.6751722142,121.65870549453373,1266.467124198096,22.865874319701447,238.03375166809212,1.4621433200729999,,
