,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2019-11-13,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1614335559.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1,2019-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1614335559.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2,2019-11-15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1614335559.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
3,2019-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1614335559.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
4,2019-11-17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1614335559.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
5,2019-11-18,1035.0,327.0,550.0,562.0,130.0,526.0,558.0,56.0,449.0,583.0,559.0,551.0,535.0,167.0,5.0,349.0,21.0,479.0,65.0,0.0,,,,,,,,,1614335559.0,,,,0.0,2339158.725768283,,0.992552295331,0.61287267,,,,,,,,,,,2.501598e-06,576614.1729389213,576614.1729389213,576614.1729389213,576614.1729389213,576614.1729389213,576614.1729389213,576614.1729389213,576614.1729389213,576614.1729389213,576614.1729389213,576614.1729389213,576614.1729389213,38.938848,1480048.1089788806,1480819.7522437058,1480819.8013857482,1469791.0932553334,1480817.7526666936,1480819.7981520905,1431110.9543229702,1480759.3768420902,1480819.7994148454,1480819.7647076836,1480818.8959679727,1480791.4727663563,1480294.5608638916,1474292.2841042425,819132.5335694759,1302903.0178618573,1441633.581193346,0.0,,,,,,,,,1463233.7460121743,1433803.05990417,819132.5335694759,1480819.8018066636,979.0,0.01133102,1059.0,2416194.851827709,,2595.14441349,,75.0,,1.8559030143552209,,
6,2019-11-19,1724.0,427.0,1305.0,1378.0,198.0,1175.0,1363.0,79.0,870.0,1478.0,1377.0,1358.0,1289.0,391.0,20.0,808.0,74.0,1137.0,178.0,0.0,,,,,,,,,1614335559.0,,,,0.0,10004706.045026584,,0.990377240282,0.10329769,,,,,,,,,,,1.0510049e-05,2425988.709682139,2425988.709682139,2425988.709682139,2425988.709682139,2425988.709682139,2425988.709682139,2425988.709682139,2425988.709682139,2425988.709682139,2425988.709682139,2425988.709682139,2425988.709682139,34.94919,6929465.63837905,6941470.868258058,6941473.358403681,6874677.233628683,6941432.307116332,6941473.314910076,6594591.337695919,6940556.186909887,6941473.357635038,6941473.268133373,6941469.510431472,6941399.522626888,6940033.700471128,6926427.9928954085,4671652.557259672,6553053.797550452,6857756.155952435,0.0,,,,,,,,,6698751.8201217,6820519.373120285,3906431.3199571073,6941473.363900581,3466.0,0.04011574,4122.0,67198729.85714899,,19550.10980646,,2741.2091967605024,,12.005204974132493,,
7,2019-11-20,1140.0,540.0,1744.0,1836.0,245.0,1555.0,1809.0,100.0,1105.0,1982.0,1835.0,1804.0,1741.0,528.0,26.0,1090.0,100.0,1535.0,238.0,0.0,530.0,26.0,1093.0,100.0,0.0,1540.0,239.0,0.0,1614335559.0,3087652.980259849,3.20426485,9091745.148255568,2837388.7879236606,4218249.919156177,4229719.738694904,0.988274389105,0.30990513,,0.0001241518365881,1.00271909435395,,,,,,,,1.5704202e-05,3079280.1270521516,3079280.1270521516,3050642.6714055985,3079280.1270521516,3079280.1270521516,3079280.1270521516,3079280.1270521516,3079280.1270521516,3079280.1270521516,3079280.1270521516,3079280.1270521516,3079280.1270521516,33.96106,9048215.181166768,9067087.015848316,9067090.863864115,8960773.693130966,9067009.647127671,9067090.768091917,8531836.944882318,9065307.666290486,9067090.862884166,9067090.719540654,9067086.723580861,9066990.448986644,9065162.446832396,9047053.808233347,5968270.674029253,8531836.944882318,8954065.454457982,0.0,9066995.44327266,9065192.434443535,9047253.576984167,5968270.674029253,8531836.944882318,0.0,8955064.263252905,0.0,8531836.944882318,8905570.721107418,5172216.152282612,9067090.872656977,2299.0,0.0266088,2764.0,29257634.22611682,29337188.49415099,16181.32247625,16225.321018834617,2462.342176408194,2469.0375171175583,14.12349205263279,,
8,2019-11-21,1309.0,589.0,2119.0,2249.0,259.0,1807.0,2208.0,102.0,1262.0,2455.0,2253.0,2211.0,2164.0,665.0,31.0,1345.0,113.0,1894.0,292.0,2.0,668.0,31.0,1348.0,113.0,0.0,1904.0,293.0,2.0,1614335559.0,6436335.580448553,2.01937869,12680509.155094596,6279411.20207552,6856174.632627747,6872485.58212572,0.985144250704,0.17345686,,0.0001316792533677,1.00237901605078,,,1.00271909435395,0.0001241518365881,0.0057492156538355,0.905884260971615,1.00271909435395,2.6648691e-05,6421059.776178008,6421059.776178008,6264397.3031830015,6421059.776178008,6421059.776178008,6421059.776178008,6421059.776178008,6421059.776178008,6421059.776178008,6421059.776178008,6421059.776178008,6421059.776178008,50.757706,12617779.015947763,12650406.111052144,12650413.598438583,12462482.244842771,12650194.01330914,12650413.360092696,11852069.548984893,12647142.285799867,12650413.603185905,12650413.392556673,12650411.101182662,12650284.281059455,12648031.11342539,12625982.450156463,9038697.707335876,11968374.951288562,12498262.863669489,2711976.8933612597,12650294.275678253,12648061.101036532,12626282.101106036,9038697.707335876,11968374.951288562,0.0,12499261.672464408,2711976.8933612597,11826219.885094749,12443399.323831411,8240732.539468451,12650413.618048253,4069.0,0.04709491,5198.0,72931182.8897593,73104687.34445642,18174.54787147,18217.785412571895,3103.443374466556,3110.826516067099,17.59075176790312,,
9,2019-11-22,1525.0,684.0,2551.0,2725.0,307.0,2169.0,2669.0,100.0,1470.0,2987.0,2729.0,2672.0,2612.0,804.0,34.0,1614.0,131.0,2298.0,360.0,1.0,807.0,34.0,1619.0,132.0,0.0,2309.0,362.0,1.0,1614335559.0,7727425.002764135,1.94350648,14710432.800534088,7569016.607067397,4083059.9071668927,4096329.634624676,0.983263205567,0.11809092,,0.0001378559396201,1.00324994679468,,,1.00237901605078,0.0001316792533677,0.0062364812877939,0.907315306762728,1.00237901605078,2.8919703e-05,7702392.6365037635,7702392.6365037635,7347356.724183694,7702392.6365037635,7702392.6365037635,7702392.6365037635,7702392.6365037635,7702392.6365037635,7702392.6365037635,7702392.6365037635,7702392.6365037635,7702392.6365037635,52.530236,14619776.690740023,14662768.898861868,14662779.522925964,14417371.620047802,14662489.649794895,14662779.188905992,13387274.334946439,14658176.010336103,14662779.527673287,14662779.221369969,14662775.928250937,14662629.417988148,14659859.301255863,14633595.640576676,10572966.025443062,13757052.81699218,14478074.691790273,1327380.7981,14662640.410610776,14659909.23976322,14633895.291526252,10572966.025443062,13767044.92099218,0.0,14480073.500585193,1327380.7981,13387274.334946439,14403741.134539468,10024216.01077449,14662779.547143748,7876.0,0.09115741,10221.0,124165175.9543711,124568706.16997488,15169.84916027,15219.150362924198,3333.0,3343.8320726666684,25.75100531038372,,
