,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2019-05-23,35,34,34,34,34,34,34,30,34,34,34,34,34,34,6,34,21,34,33,1,,,,,,,,,1614335647,,,,,3000000.0,,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,2991097.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,2491613.0,2945645.0,2999500.0,1000000.0,,,,,,,,,3000000.0,2103506.0,1000000.0,3000000.0,0,0.0,0,0.0,,,,,,0.0,,
1,2019-05-24,6,38,39,39,37,39,39,30,39,39,39,39,39,37,6,39,21,39,34,1,,,,,,,,,1614335647,,,,,2086.575875486157,,0.999967597115,300208.6575875486,,,,,,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0003331017,3002076.5758754867,3002086.5758754862,3002086.5758754862,3001989.299610895,3002086.5758754862,3002086.5758754862,2991097.0,3002086.5758754862,3002086.5758754862,3002086.5758754862,3002086.5758754862,3002086.5758754862,3002086.5758754862,3001989.299610895,2491613.0,2945645.0,3000600.194552529,1000000.0,,,,,,,,,3002086.5758754862,2103506.0,1000000.0,3002086.5758754862,1,1.1574074e-05,1,10.0,,10.0,,10.0,,3.331017e-06,,
2,2019-05-25,5,40,41,41,38,41,41,30,40,41,41,41,41,38,6,40,21,40,35,1,,,,,,,,,1614335647,,,,,107.00389105040733,,0.9999416159710001,2946.215485541253,,,,,,0.0,1029.0,1029.0,1029.0,1029.0,1029.0,1029.0,1029.0,1029.0,1029.0,1029.0,1029.0,1029.0,0.034274938399999996,3002192.8521400765,3002193.579766536,3002193.579766536,3002018.299610895,3002193.579766536,3002193.579766536,2990097.0,3002192.8521400765,3002193.579766536,3002193.579766536,3002193.579766536,3002192.8521400765,3002192.8521400765,3002018.299610895,2490613.0,2944645.0,3000629.194552529,1000000.0,,,,,,,,,3002193.579766536,2272373.0,1000000.0,3002193.579766536,4,4.6296296e-05,4,1019.0,,254.75,,7.0,,0.000342749384,,
3,2019-05-26,4,40,42,42,38,41,42,30,40,42,42,42,42,38,6,40,21,40,35,1,,,,,,,,,1614335647,,,,,97.27626459127615,,0.999941525845,4720.583106967182,,,,,,2.76265e-07,1665.0,1665.0,0.0,1665.0,1665.0,1665.0,1665.0,1665.0,1665.0,1665.0,1665.0,1665.0,0.0554576515,3002289.852140078,3002290.856031129,3002290.856031129,3002115.2996108946,3002290.5797665366,3002290.856031129,2990097.0,3002289.852140078,3002290.856031129,3002290.856031129,3002290.856031129,3002289.852140078,3002289.852140078,3002115.2996108946,2490613.0,2944645.0,3000726.1945525296,1000000.0,,,,,,,,,3002290.856031129,2272373.0,1000000.0,3002290.856031129,5,5.787036999999999e-05,5,636.0,,127.2,,20.0,,0.000554576515,,
4,2019-05-27,0,40,42,42,38,41,42,30,40,42,42,42,42,38,6,40,21,40,35,1,,,,,,,,,1614335647,,,,,0.0,,0.999941525845,,,,,,,2.76265e-07,1665.0,1665.0,0.0,1665.0,1665.0,1665.0,1665.0,1665.0,1665.0,1665.0,1665.0,1665.0,0.0554576515,3002289.852140078,3002290.856031129,3002290.856031129,3002115.2996108946,3002290.5797665366,3002290.856031129,2990097.0,3002289.852140078,3002290.856031129,3002290.856031129,3002290.856031129,3002289.852140078,3002289.852140078,3002115.2996108946,2490613.0,2944645.0,3000726.1945525296,1000000.0,,,,,,,,,3002290.856031129,2272373.0,1000000.0,3002290.856031129,0,0.0,0,0.0,,,,,,0.000554576515,,
5,2019-05-28,2,40,42,42,38,41,42,30,40,42,42,42,42,38,6,40,21,40,35,1,,,,,,,,,1614335647,,,,,97.27626459123418,,0.9999415277399999,,,,,,,2.76265e-07,1665.0,1665.0,0.0,1665.0,1665.0,1665.0,1665.0,1665.0,1665.0,1665.0,1665.0,1665.0,0.055455854699999994,3002387.1284046685,3002388.132295719,3002388.132295719,3002212.5758754853,3002387.856031128,3002388.132295719,2990194.276264591,3002387.1284046685,3002388.132295719,3002388.132295719,3002388.132295719,3002387.1284046685,3002387.1284046685,3002212.5758754853,2490710.276264591,2944742.2762645916,3000823.4708171207,1000000.0,,,,,,,,,3002388.132295719,2272470.2762645916,1000000.0,3002388.132295719,0,0.0,0,0.0,,,,,,0.000554558547,,
6,2019-05-29,6,41,44,45,38,43,44,31,41,45,45,44,44,38,6,41,21,41,35,1,,,,,,,,,1614335647,,,,,431.45428015430554,,0.9999292140620001,2153.402761193848,,,,,,2.78218e-07,3059.4533,3059.4533,0.0,3059.4533,3059.4533,3059.4533,3059.4533,3059.4533,3059.4533,3059.4533,3059.4533,3059.4533,0.10188601789999999,3002818.2198369643,3002819.5846229554,3002819.586575873,3002607.029175485,3002819.308358364,3002819.5846229554,2992253.729564591,3002818.2198369643,3002819.586575873,3002819.5846229554,3002819.5846229554,3002818.2198369643,3002818.2198369643,3002607.029175485,2489710.276264591,2943742.276264591,3001217.924117121,1000000.0,,,,,,,,,3002819.586575873,2271470.276264591,1000000.0,3002819.586575873,5,5.787036999999999e-05,5,1394.4533,,278.89066,,113.0,,0.001018860179,,
7,2019-05-30,6,41,44,46,38,43,45,31,41,46,46,44,44,38,6,41,21,41,35,1,,,,,,,,,1614335647,,,,,540.7198443543272,,0.999929240177,4411.775525031182,,,,,,2.81447e-07,3740.2133,3740.2133,0.0,3740.2133,3740.2133,3740.2133,3740.2133,3740.2133,3740.2133,3740.2133,3740.2133,3740.2133,0.12453428550000001,3003358.9798369636,3003360.3012377406,3003360.306420228,3003147.7891754853,3003360.0249731485,3003360.3044673093,2992934.489564591,3003358.9798369636,3003360.306420228,3003360.3012377406,3003360.3012377406,3003358.9798369636,3003358.9798369636,3003147.7891754853,2489710.276264591,2943742.276264591,3001898.68411712,1000000.0,,,,,,,,,3003360.306420228,2271470.276264591,1000000.0,3003360.306420228,7,8.1018519e-05,7,680.76,,97.25142857,,31.0,,0.001245342855,,
8,2019-05-31,0,41,44,46,38,43,45,31,41,46,46,44,44,38,6,41,21,41,35,1,,,,,,,,,1614335647,,,,,0.0,,0.999929240177,,,,,,,2.81447e-07,3740.2133,3740.2133,0.0,3740.2133,3740.2133,3740.2133,3740.2133,3740.2133,3740.2133,3740.2133,3740.2133,3740.2133,0.12453428550000001,3003358.9798369636,3003360.3012377406,3003360.306420228,3003147.7891754853,3003360.0249731485,3003360.3044673093,2992934.489564591,3003358.9798369636,3003360.306420228,3003360.3012377406,3003360.3012377406,3003358.9798369636,3003358.9798369636,3003147.7891754853,2489710.276264591,2943742.276264591,3001898.68411712,1000000.0,,,,,,,,,3003360.306420228,2271470.276264591,1000000.0,3003360.306420228,0,0.0,0,0.0,,,,,,0.001245342855,,
9,2019-06-01,0,41,44,46,38,43,45,31,41,46,46,44,44,38,6,41,21,41,35,1,,,,,,,,,1614335647,,,,,0.0,,0.999929240177,,,,,,,2.81447e-07,3740.2133,3740.2133,0.0,3740.2133,3740.2133,3740.2133,3740.2133,3740.2133,3740.2133,0.0,3740.2133,3740.2133,0.12453428550000001,3003358.9798369636,3003360.3012377406,3003360.306420228,3003147.7891754853,3003360.0249731485,3003360.3044673093,2992934.489564591,3003358.9798369636,3003360.306420228,3003360.3012377406,3003360.3012377406,3003358.9798369636,3003358.9798369636,3003147.7891754853,2489710.276264591,2943742.276264591,3001898.68411712,1000000.0,,,,,,,,,3003360.306420228,2271470.276264591,1000000.0,3003360.306420228,0,0.0,0,0.0,,,,,,0.001245342855,,
