,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMrktCurUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2017-12-18,42,21,28,28,17,28,28,9,28,30,28,28,28,14,1,21,7,27,7,0,,,,,,,,,1614335579,,,,0.0,595342.0268693233,,0.999748864554,0.21567628,,,,,,0.0,593769.8990782681,593769.8990782681,593769.8990782681,593769.8990782681,593769.8990782681,593769.8990782681,593769.8990782681,593769.8990782681,593769.8990782681,593769.8990782681,593769.8990782681,593769.8990782681,99.743626,595275.1570817418,595296.0830293333,595296.0830293333,595146.5830817418,595296.0830293333,595296.0830293333,594310.0140000001,595296.0830293333,595296.0830293333,595296.0830293333,595296.0830293333,595295.1839510652,595275.1570817418,594920.0140000001,382710.33350000007,592948.7180000001,592948.7180000001,0.0,,,,,,,,,595296.0830293333,492710.33350000007,382710.33350000007,595296.0830293333,160,0.00185185,161,2760137.0754965264,,20777.01050308,,10000.0,,5.619218379489482,,
1,2017-12-19,94,66,90,92,47,87,91,32,81,104,92,90,88,53,4,72,20,85,33,0,,,,,,,,,1614335579,,,,0.0,1379831.75,,0.999258477655,0.40990025,,,,,,2.8847899999999997e-07,1885176.7171305728,1885176.7171305728,1885176.7171305728,1885176.7171305728,1885176.7171305728,1885176.7171305728,1885176.7171305728,1885176.7171305728,1885176.7171305728,1885176.7171305728,1885176.7171305728,1885176.7171305728,97.187416,1939619.5564668959,1939733.341356,1939733.3500000003,1938294.9944281105,1939733.1314153615,1939733.3483560001,1930708.1617382937,1939727.6396459728,1939733.3500000003,1939733.341356,1939733.265663713,1939732.4064153612,1939690.9244668963,1938973.9944281105,1521641.4966881778,1873871.8968274787,1931949.1742060082,0.0,,,,,,,,,1939733.3500495998,1754993.739058605,757886.745,1939733.3500496002,584,0.00675926,594,4732208.220867598,,11487.09181227,,4000.0,,5.242179925001987,,
2,2017-12-20,55,69,96,98,47,93,97,33,84,114,98,96,95,62,5,80,26,92,41,2,,,,,,,,,1614335579,,,,0.0,2676383.0,,0.999056744402,1.28001846,,,,,,2.8246e-07,2603321.859730621,2603321.859730621,1120090.6201229494,2603321.859730621,2603321.859730621,2603321.859730621,2603321.859730621,2603321.859730621,2603321.859730621,2603321.859730621,2603321.859730621,2603321.859730621,63.281661,4113579.356320498,4113864.5912661036,4113864.5999101046,4109984.174238109,4113864.1905081454,4113864.5982661042,4079341.827242768,4113847.385660488,4113864.5999101046,4113864.5912661036,4113864.5423064954,4113863.7505081436,4113823.558820497,4113133.628781712,3321475.323307659,4034015.822015653,4105208.59261164,2667263.2372344444,,,,,,,,,4113864.600049601,3779591.3908748548,1449908.4147782554,4113864.6000496,508,0.00587963,509,3213910.3560928283,,7653.475983399999,,4000.0,,3.41869552606707,,
3,2017-12-21,59,76,114,118,52,108,117,36,99,135,118,116,112,67,8,95,32,108,47,2,,,,,,,,,1614335579,,,,0.0,805355.0,,0.9991981593260001,1.74665821,,,,,,7.19235e-07,3527392.0713154883,3527392.0713154883,1005575.1099500097,3527392.0713154883,3527392.0713154883,3527392.0713154883,3527392.0713154883,3527392.0713154883,3527392.0713154883,3527392.0713154883,3527392.0713154883,3527392.0713154883,72.439425,4868935.140912025,4869436.830443398,4869436.888057401,4865532.375502272,4869435.613511495,4869436.886413401,4829039.105133397,4869415.63866384,4869436.888057401,4869436.879413401,4869436.709411792,4869435.613511495,4869393.061823849,4868360.400950241,4155334.0913570947,4799450.750257384,4861931.079502272,3043385.1012144135,,,,,,,,,4869419.248663838,4463324.90535798,1772085.0018412252,4869436.888057401,297,0.0034375,301,2787859.03837084,,12168.16939658,,4000.0,,3.6403941356919263,,
4,2017-12-22,106,89,134,141,61,130,136,46,117,176,139,135,134,81,9,111,38,129,55,1,,,,,,,,,1614335579,,,,0.0,314551.190340898,,0.9988328807089999,0.25602408,,,,,,1.2313039999999999e-06,3961717.483671657,3961717.483671657,3081392.49595963,3961717.483671657,3961717.483671657,3961717.483671657,3961717.483671657,3961717.483671657,3961717.483671657,3961717.483671657,3961717.483671657,3961717.483671657,89.297561,4435915.108746218,4436534.927845077,4436534.950444875,4431356.985187106,4436533.716487996,4436534.944845076,4402354.605657543,4436511.132005142,4436534.9484890755,4436534.9378450755,4436534.927845077,4436533.097481142,4436471.923699902,4435419.3812074335,3427987.5162215675,4342293.116558433,4427248.189855897,1002370.8470803077,,,,,,,,,4436300.368971211,3961050.8702094904,1002370.8470803077,4436534.950711276,2118,0.02451389,2141,17328584.564447775,,9448.46548905,,4000.0,,8.555287972513831,,
5,2017-12-23,121,105,163,169,74,157,164,52,141,238,167,163,163,98,9,135,44,155,68,0,98.0,9.0,135.0,44.0,0.0,155.0,68.0,0.0,1614335579,4371374.32818902,2.34083108,5221412.778372228,2230580.760398969,819453.817,823551.0860850001,0.998596519079,1.33706437,,6.740054750229994e-05,1.005,,,1.05622e-06,4349626.197203006,4349626.197203006,3383151.4341705525,4349626.197203006,4349626.197203006,4349626.197203006,4349626.197203006,4349626.197203006,4349626.197203006,4349626.197203006,4349626.197203006,4349626.197203006,83.720145,5194561.782757687,5195435.587433226,5195435.600031617,5188143.905630364,5195433.522488959,5195435.594433226,5139492.187181596,5195397.708112448,5195435.598077226,5195435.587433226,5195435.587433226,5195432.258642112,5195352.022682695,5194113.485218902,3928026.896042647,5080568.030209954,5183666.119410366,0.0,5195432.258642112,5195352.022682695,5194113.485218902,3928026.896042647,5080568.030209954,0.0,5183666.119410366,0.0,5194279.897218901,4716468.251222897,1967280.2661308248,5195435.600370378,611,0.00707176,629,3885703.433269288,3905131.9504356342,6989.60846949,7024.55651183745,3790.45,3809.40225,8.15182808304835,,
6,2017-12-24,113,109,175,182,79,169,177,56,149,296,180,175,175,105,8,142,50,167,75,1,105.0,9.0,142.0,50.0,0.0,167.0,75.0,1.0,1614335579,4961136.733827439,2.05668313,5882236.307622228,2860059.59190337,658880.035,662174.435175,0.9986490022799999,1.17654448,,7.165087314535606e-05,1.005,,,1.050629e-06,4936454.461519839,4936454.461519839,2845830.4397048457,4936454.461519839,4936454.461519839,4936454.461519839,4936454.461519839,4936454.461519839,4936454.461519839,4936454.461519839,4936454.461519839,4936454.461519839,84.340997,5851963.579414925,5852971.427485664,5852971.449625407,5845064.099287604,5852969.190121395,5852971.444027019,5794610.596032673,5852918.324569688,5852971.447671018,5852971.427485664,5852971.427485664,5852967.926274549,5852864.433839933,5851677.711876141,4279067.175939161,5750428.470085029,5841821.754367606,1168946.4467453077,5852967.926274549,5852864.433839933,5851677.711876141,4378963.703672704,5750428.470085029,0.0,5841821.754367606,1168946.4467453077,5851167.711876141,5395658.36439647,2151328.8723865333,5852971.450370378,729,0.0084375,740,4974713.299148868,4999586.865644611,7494.4840986,7531.956519093001,3624.79496,3642.9189348000004,8.183572475943212,,
7,2017-12-25,260,113,191,397,81,183,391,58,157,511,394,389,191,109,9,150,54,180,76,1,109.0,9.0,150.0,54.0,0.0,180.0,76.0,1.0,1614335579,4826711.218513158,2.20343712,6002470.407222229,2724139.6415890898,124316.455,124938.037275,0.998604135054,1.96719109,,7.137306448937613e-05,1.005,,,1.220175e-06,4802697.729863839,4802697.729863839,2374106.241336003,4802697.729863839,4802697.729863839,4802697.729863839,4802697.729863839,4802697.729863839,4802697.729863839,4802697.729863839,4802697.729863839,4802697.729863839,80.412079,5971427.62427795,5972605.266817168,5972607.369569408,5964270.4171076715,5972602.9749529,5972607.363358525,5910366.52182872,5972538.9823897565,5972607.3670025235,5972607.346817169,5972605.266817168,5972601.028394615,5972482.726759998,5971103.055196208,4289735.618117165,5881540.043007414,5960224.937587673,1034312.9027453074,5972601.028394615,5972482.726759998,5971103.055196208,4289735.618117165,5881540.043007414,0.0,5960224.937587673,1034312.9027453074,5970143.855196209,5849540.043007413,3602285.4813652406,5972607.370370377,726,0.00840278,729,3036109.406130605,3051289.9531612583,5014.40424709,5039.476268325449,2841.3140000000003,2855.52057,8.63169359091255,,
8,2017-12-26,60,111,191,398,81,185,392,57,159,519,396,389,191,107,13,150,53,183,78,1,107.0,13.0,150.0,53.0,0.0,183.0,78.0,1.0,1614335579,5581847.45597526,1.36420603,6270728.230925933,4596613.761167626,205450.0,208531.75,0.998749243912,1.22347856,,6.453809442654694e-05,1.015,,,1.099063e-06,5499357.099483018,5499357.099483018,3829377.1454233374,5499357.099483018,5499357.099483018,5499357.099483018,5499357.099483018,5499357.099483018,5499357.099483018,5233480.682331534,5499357.099483018,5499357.099483018,89.014342,6176786.728340841,6178055.255926512,6178057.368957014,6170330.12750377,6178053.765642983,6178057.360915365,6102053.160582338,6177991.0557912765,6178057.367002625,6178057.335926513,6178055.255926512,6178052.501796136,6177917.065504631,6176442.26444084,4833903.126840693,6071512.511761035,6167699.0785837695,1497420.1527453077,6178052.501796136,6177917.065504631,6176442.26444084,4833903.126840693,6071512.511761035,0.0,6167699.0785837695,1497420.1527453077,6175723.06444084,6050512.511761035,3279819.008186028,6178057.370370377,419,0.00484954,434,5049583.670500785,5125327.425558297,12581.85071544,12770.578476171599,4000.0,4060.0,9.228506074385287,,
9,2017-12-27,70,123,205,413,84,199,407,56,169,535,410,404,205,118,14,162,51,196,79,1,118.0,14.0,162.0,51.0,0.0,196.0,79.0,1.0,1614335579,5527232.25468047,1.33707568,6046865.773005353,4522455.88838494,180145.85426543935,182848.0420794209,0.998441072747,2.14532003,,6.59562000224533e-05,1.015,,,1.1241450000000001e-06,5445549.019389626,5445549.019389626,3748800.425717252,5445549.019389626,5445549.019389626,5445549.019389626,5445549.019389626,5445549.019389626,5445549.019389626,4734210.865815859,5445549.019389626,5445549.019389626,91.406564,5956279.4532592725,5957501.09889195,5957503.223534947,5948215.91050154,5957499.608608421,5957503.217324063,5879972.521846112,5957432.838438535,5957503.220968065,5957503.192335208,5957501.09889195,5957497.6847615745,5957376.582808777,5955890.493277529,4723488.30277274,5842446.8280248055,5944193.56558154,1503399.9105992974,5957497.6847615745,5957376.582808777,5955890.493277529,4723488.30277274,5842446.8280248055,0.0,5944193.56558154,1503399.9105992974,5953636.386948429,5858672.358024806,3216689.9553213925,5957503.224635816,383,0.00443287,389,2776976.46589977,2818631.1128882663,10274.5843769,10428.7031425535,4000.0,4060.0,10.241044107316931,,
