,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2018-03-11,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,1614335748.0,,,,,,,100000000.0,,1.0,2.839179742761,,2.839179742761,,,,,,,,,,,0.0,35221440.36670392,35221440.36670392,35221440.36670392,35221440.36670392,35221440.36670392,35221440.36670392,35221440.36670392,35221440.36670392,35221440.36670392,35221440.36670392,35221440.36670392,35221440.36670392,35.2214403667,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,,,,,,,,,100000000.0,64778559.63329608,64778559.63329608,100000000.0,100000000.0,1.0,1.1574074e-05,1.0,35221440.36670392,,35221440.36670392,,35221440.36670392,,0.352214403667,,
1,2018-03-12,75249.0,1124.0,75250.0,75250.0,107.0,75250.0,75250.0,60.0,4032.0,75250.0,75250.0,75250.0,75250.0,4032.0,60.0,75250.0,107.0,75250.0,1124.0,17.0,,,,,,,,,1614335749.0,,,,,,,0.0,,0.926907306216,1.779832787481,,1.779832787481,,,,,,,,,,,0.0,91406493.65,91406493.65,91406493.65,91406493.65,91406493.65,91406493.65,91406493.65,91406493.65,91406493.65,91406493.65,91406493.65,91406493.65,91.40649365,97543885.68578668,100000000.0,100000000.0,92690730.62157148,100000000.0,100000000.0,90886786.16466036,98354858.66370519,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,98354858.66370519,90886786.16466036,92690730.62157148,97543885.68578668,82101094.62043257,,,,,,,,,92597341.77157149,98591088.09184591,96845391.03189407,100000000.0,100000000.0,181.0,0.002094907407,77716.0,56185053.28329711,,722.95348813,,18.8780759,,0.9140649365000001,,
2,2018-03-13,27.0,1146.0,75268.0,75268.0,127.0,75268.0,75268.0,69.0,4053.0,75268.0,75268.0,75268.0,75268.0,4053.0,69.0,75268.0,127.0,75268.0,1146.0,18.0,,,,,,,,,1614335749.0,,,,,,,0.0,,0.926796405804,11.636693559899001,,11.636693559899001,,,,,,,,,,,0.0,100000000.0,100000000.0,62143184.44329608,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100.0,97544093.34462236,100000000.0,100000000.0,92679640.58040716,100000000.0,100000000.0,90404322.31466036,98354953.05408488,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,98354953.05408488,90404322.31466036,92679640.58040716,97544093.34462236,79766959.47043256,,,,,,,,,92165656.24387568,98590049.79766959,96770947.09113516,100000000.0,100000000.0,2.0,2.3148148e-05,32.0,8593506.350000001,,268547.0734375,,59689.36,,1.0,,
3,2018-03-14,3540.0,1360.0,73460.0,73576.0,324.0,73448.0,73536.0,77.0,3708.0,73834.0,73603.0,73576.0,73536.0,3708.0,77.0,73448.0,324.0,73460.0,1360.0,15.0,,,,,,,,,1614335749.0,,,,,,,0.0,,0.934059026129,4.992058328628,,4.992058328628,,,,,,,,,,,8.6969e-07,100000000.0,100000000.0,70111162.06591846,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100.0,97697819.1305656,99999950.48256627,99999999.82784903,93405902.61293954,99999916.27940679,99999997.26044527,85878086.57732043,98393772.61130573,99999999.97464912,99999999.82784903,99999997.26044527,99999950.48256627,99999916.27940679,98393772.61130573,85878086.57732043,93405902.61293954,97697819.1305656,74156378.15476602,,,,,,,,,87648474.07053825,98632771.78061472,96264838.74054548,100000000.0,100000000.0,3766.0,0.04358796296299999,3862.0,20031817.22187139,,5578.80217121692,,186.44611460928897,,1.215453339852,,
4,2018-03-15,1848.0,1593.0,72852.0,73032.0,383.0,72830.0,72980.0,86.0,3895.0,73442.0,73071.0,73032.0,72980.0,3895.0,86.0,72830.0,383.0,72852.0,1593.0,14.0,,,,,,,,,1614335749.0,,,,,,,0.0,,0.9299655434280001,6.136018135641001,,6.136018135641001,,,,,,,,,,,1.7754349999999999e-06,100000000.0,100000000.0,68546456.12855317,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100.0,97718227.39160763,99999910.5587575,99999999.72804119,92996554.34275655,99999830.40345335,99999996.52942152,83964397.10856746,98413097.72297496,99999999.96066445,99999999.72804119,99999996.52942152,99999910.5587575,99999830.40345335,98413097.72297496,83964397.10856746,92996554.34275655,97718227.39160763,69372055.71508062,,,,,,,,,85177340.26762861,98641614.92816097,95523963.75812931,100000000.0,100000000.0,1886.0,0.021828703704,1917.0,16297213.891716834,,9144.211857750654,,75.5123038,,1.3907478811649998,,
5,2018-03-16,1148.0,1631.0,72437.0,72676.0,392.0,72407.0,72604.0,85.0,3923.0,73185.0,72720.0,72676.0,72604.0,3923.0,85.0,72407.0,392.0,72437.0,1631.0,14.0,,,,,,,,,1614335749.0,,,,,,,0.0,,0.9295336511910001,33.82226720632,,33.82226720632,,,,,,,,,,,2.270224e-06,100000000.0,100000000.0,23739731.468118228,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100.0,97725786.75955927,99999880.44381468,99999999.68625934,92953365.11911535,99999783.40183106,99999995.2099129,83565108.03341827,98424317.51701264,99999999.9513622,99999999.68625934,99999995.2099129,99999880.44381468,99999783.40183106,98424317.51701264,83565108.03341827,92953365.11911535,97725786.75955927,69392733.87148608,,,,,,,,,84825900.63797942,98649645.77593051,95408287.98952623,100000000.0,100000000.0,1123.0,0.012997685185,1135.0,2956632.0728881895,,2939.133602849992,,52.023018999166915,,1.424107047558,,
6,2018-03-17,805.0,1648.0,72061.0,72338.0,397.0,72027.0,72252.0,86.0,3939.0,72927.0,72387.0,72338.0,72252.0,3939.0,86.0,72027.0,397.0,72061.0,1648.0,14.0,,,,,,,,,1614335749.0,,,,,,,0.0,,0.929594391567,72.600369880468,,72.600369880468,,,,,,,,,,,2.521283e-06,100000000.0,100000000.0,15870935.418416275,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100.0,97733417.75763917,99999862.21742354,99999999.64386883,92959439.15672565,99999759.53327292,99999994.27166767,83520348.31801647,98433625.73795499,99999999.94428499,99999999.64386883,99999994.27166767,99999862.21742354,99999759.53327292,98433625.73795499,83520348.31801647,92959439.15672565,97733417.75763917,69614467.44288087,,,,,,,,,84722660.34414846,98656628.21507256,95374759.92893897,100000000.0,100000000.0,748.0,0.008657407407,755.0,1377403.450762632,,1956.2064346508623,,18.8780759,,1.438876406139,,
7,2018-03-18,525.0,1653.0,71837.0,72134.0,401.0,71800.0,72042.0,84.0,3947.0,72765.0,72188.0,72134.0,72042.0,3947.0,84.0,71800.0,401.0,71837.0,1653.0,14.0,,,,,,,,,1614335749.0,,,,,,,0.0,,0.930055561866,63.048656501399,,63.048656501399,,,,,,,,,,,2.770843e-06,100000000.0,100000000.0,17211592.46047059,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100.0,97736562.40669881,99999851.28887643,99999999.60573892,93005556.18662432,99999735.72672577,99999993.84708238,83216770.4377873,98439781.70901291,99999999.94114272,99999999.60573892,99999993.84708238,99999851.28887643,99999735.72672577,98439781.70901291,83216770.4377873,93005556.18662432,97736562.40669881,70184627.43814155,,,,,,,,,84635632.55114517,98660880.6318078,95376494.74266048,100000000.0,100000000.0,487.0,0.005636574074000001,489.0,1586076.620011433,,4062.74515391242,,37.7561519,,1.458743229942,,
8,2018-03-19,799.0,1654.0,71492.0,71810.0,407.0,71447.0,71713.0,86.0,3934.0,72480.0,71871.0,71810.0,71713.0,3934.0,86.0,71447.0,407.0,71492.0,1654.0,14.0,,,,,,,,,1614335749.0,,,,,,,0.0,,0.9311678529240001,92.40398941832501,,92.40398941832501,,,,,,,,,,,3.154642e-06,100000000.0,100000000.0,14670570.49072957,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100.0,97742005.46602063,99999840.50669567,99999999.5449602,93116785.29236296,99999698.96872179,99999993.47655085,83240282.06636752,98446818.40423137,99999999.9376544,99999999.5449602,99999993.47655085,99999840.50669567,99999698.96872179,98446818.40423137,83240282.06636752,93116785.29236296,97742005.46602063,70117418.63238373,,,,,,,,,84500031.73972544,98667187.63895397,95424863.7287401,100000000.0,100000000.0,688.0,0.007962962963,688.0,1082204.3575119514,,1641.2997489940915,,18.8780759,,1.4700353722150001,,
9,2018-03-20,891.0,1676.0,71197.0,71532.0,411.0,71150.0,71430.0,87.0,3939.0,72263.0,71603.0,71532.0,71430.0,3939.0,87.0,71150.0,411.0,71197.0,1676.0,14.0,,,,,,,,,1614335749.0,,,,,,,0.0,,0.930389756713,38.767516957141,,38.767516957141,,,,,,,,,,,3.4136230000000002e-06,100000000.0,100000000.0,19256658.64624822,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,75258269.73100896,100000000.0,100000000.0,100.0,97752837.76805224,99999831.54697306,99999999.46002252,93038975.67133142,99999674.57107839,99999993.12047373,83079328.30332822,98453896.20877273,99999999.93315509,99999999.46002252,99999993.12047373,99999831.54697306,99999674.57107839,98453896.20877273,83079328.30332822,93038975.67133142,97752837.76805224,69928855.41423161,,,,,,,,,84271164.5529013,98672611.42015444,95332412.03691962,100000000.0,100000000.0,816.0,0.009444444444,823.0,2579479.1064528013,,3432.180267429284,,37.7561519,,1.498282215816,,
