,time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
0,2020-08-26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1,2020-08-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2,2020-08-28,1895.0,469.0,978.0,1000.0,148.0,915.0,995.0,22.0,755.0,1010.0,998.0,985.0,946.0,266.0,4.0,614.0,8.0,827.0,46.0,1.0,,,,,,,,,1614335289.0,,,,,,,2519314.285714286,,0.986921673799,0.414560442173,,0.414560442173,,,,,,,,,,,2.923585e-06,1719946.2878708993,1719946.2878708993,1719946.2878708993,1719946.2878708993,1719946.2878708993,1719946.2878708993,1719946.2878708993,1719946.2878708993,1719946.2878708993,1719946.2878708993,1719946.2878708993,1719946.2878708993,68.2704138036,2515870.2150425245,2519314.1129176905,2519314.2852085186,2486365.871682951,2519307.418944914,2519314.278877717,2401859.9136187504,2519131.1277479995,2519314.283847039,2519314.222398681,2519312.3300000937,2519254.8175986367,2518334.5482840505,2504869.2717799083,2266812.5116494736,2331502.8340711123,2437143.6028775577,1327504.4312613865,,,,,,,,,2470868.306507553,2471279.0701430202,2348749.493353809,2519314.285714286,2519314.285714286,13711.0,0.15869212962999998,14287.0,6077073.520354676,,560.3546779619339,,110.70878304279327,,3.177764413689,,
3,2020-08-29,3656.0,799.0,2030.0,2112.0,194.0,1843.0,2090.0,24.0,1490.0,2146.0,2112.0,2090.0,2027.0,789.0,6.0,1478.0,23.0,1835.0,188.0,2.0,,,,,,,,,1614335289.0,,,,,,,7128235.714285714,,0.9769407368430001,0.412273861422,,0.412273861422,,,,,,,,,,,9.515878e-06,7060116.3666200945,7060116.3666200945,7060116.3666200945,7060116.3666200945,7060116.3666200945,7060116.3666200945,7060116.3666200945,7060116.3666200945,7060116.3666200945,7060116.3666200945,7060116.3666200945,7060116.3666200945,73.180407115,9619212.38563894,9647546.989643775,9647549.995649317,9425084.605725998,9647464.6877949,9647549.901566666,8995651.827435268,9645984.105201516,9647549.995649317,9647549.901566666,9647546.690645507,9647456.848435927,9645866.2907265,9618232.679390643,8481633.675419897,8985918.392986625,9419205.94876777,6995863.063074995,,,,,,,,,9302377.05144152,9443282.344296664,8965248.24832921,9647550.000000002,9647550.000000002,21696.0,0.251111111111,23119.0,23400828.67910692,,1467.2899045614513,,210.3247117705945,,4.345980335691,,
4,2020-08-30,5087.0,1318.0,3735.0,3975.0,309.0,3390.0,3914.0,45.0,2696.0,4117.0,3980.0,3929.0,3795.0,1669.0,11.0,2932.0,65.0,3473.0,477.0,3.0,,,,,,,,,1614335289.0,,,,,,,7210342.857142857,,0.959878742859,0.521497699897,,0.521497699897,,,,,,,,,,,1.7062694e-05,13062319.884782081,13062319.884782081,12653397.37485478,13062319.884782081,13062319.884782081,13062319.884782081,13062319.884782081,13062319.884782081,13062319.884782081,13062319.884782081,13062319.884782081,13062319.884782081,77.4848908786,16757982.010638503,16857878.397370707,16857892.835934997,16181533.002960594,16857637.086943436,16857892.40080959,15062616.02207246,16852201.765670948,16857892.842962082,16857892.58970229,16857886.24810397,16857743.748600498,16855276.82754958,16802879.142484818,13862739.918236688,15307543.713337375,16397131.226764273,11997488.072368585,,,,,,,,,15558862.539554724,16326863.872398544,14990024.232849244,16857892.85714286,16857892.85714286,18354.0,0.212430555556,19936.0,32325919.865959365,,2198.1079645209024,,350.0,,5.086610983647001,,
5,2020-08-31,8419.0,2131.0,7118.0,7592.0,437.0,6466.0,7458.0,67.0,5001.0,7818.0,7607.0,7519.0,7283.0,3284.0,18.0,5795.0,140.0,6754.0,927.0,3.0,,,,,,,,,1614335289.0,,,,,,,7251200.0,,0.9313671955589999,0.6342647899239999,,0.6342647899239999,,,,,,,,,,,3.5053197e-05,19312776.37988865,19312776.37988865,18550959.30074419,19312776.37988865,19312776.37988865,19312776.37988865,19312776.37988865,19312776.37988865,19312776.37988865,19312776.37988865,19312776.37988865,19312776.37988865,80.1057779085,23820072.635999538,24109055.469905593,24109092.800573952,22454418.201836526,24108384.767922692,24109091.33439308,19954256.14009283,24091627.978629593,24109092.825739764,24109092.36458891,24109081.236740157,24108851.825891327,24104616.81252155,23998291.559484616,17761107.804440893,21069731.23735278,23214849.606935643,13262272.856534159,,,,,,,,,20584827.231524326,23056349.486287992,20200417.857804947,24109092.857142854,24109092.857142854,27279.0,0.315729166667,29633.0,38011085.02337359,,1730.71291567814,,237.93564034406415,,5.68398651955,,
6,2020-09-01,14176.0,2262.0,10186.0,10942.0,362.0,9163.0,10705.0,54.0,6433.0,11747.0,10985.0,10824.0,10497.0,4255.0,29.0,8218.0,147.0,9739.0,950.0,5.0,7996.0,129.0,9670.0,844.0,5.0,10473.0,3958.0,28.0,1614335290.0,231439910.8110508,1.388979633424,1.388979633424,281586061.9033753,281586061.9033753,202728719.07364893,7185357.142857142,64653522.30911329,0.927349123386,0.620088595534,,0.620088595534,,0.0007516859675893349,8.9979552893045,,,,,,,,5.2781111e-05,25721389.290092822,25721389.290092822,24215692.26383186,25721389.290092822,25721389.290092822,25721389.290092822,25721389.290092822,25721389.290092822,25721389.290092822,25721389.290092822,25721389.290092822,25721389.290092822,82.1915364868,30774109.845632333,31294374.535939563,31294449.848783,29020880.774342958,31292994.179381885,31294446.7195866,26360319.40195238,31253180.89991864,31294449.93952613,31294449.087772604,31294434.04326254,31294094.242733106,31287073.252435364,31124128.92486416,24998219.74435394,27913021.515755393,30029541.413913663,17460277.355300862,31294431.52588152,31294023.30856924,31284780.16897541,27726292.351108134,29918776.840874232,17460277.355300862,31093250.583604556,24895392.843807533,27347353.938284945,30230085.150939163,27582227.805856824,31294450.0,31294450.0,41408.0,0.479259259259,44387.0,50467707.72015692,454106177.6196595,1423.9114130297169,12812.291230371782,220.59466219050304,1984.9009074493758,6.3985439810810005,,
7,2020-09-02,9889.0,1888.0,10193.0,11029.0,265.0,9079.0,10750.0,33.0,5979.0,12170.0,11100.0,10908.0,10562.0,4059.0,20.0,8176.0,113.0,9790.0,855.0,6.0,7665.0,79.0,9632.0,656.0,5.0,10480.0,3405.0,18.0,1614335290.0,225718044.39589253,1.2479633595200001,1.2479633595200001,277869055.0930951,277869055.0930951,222658023.54970247,7140178.571428571,51621018.50813015,0.938848413314,0.766279236391,,0.766279236391,,0.0006333733805645528,7.229653711279952,,,8.9979552893045,0.0007516859675893349,0.0187165277468642,7.53854659088043,8.9979552893045,5.4246591e-05,31221141.898362223,31221141.898362223,29979720.038443483,31221141.898362223,31221141.898362223,31221141.898362223,31221141.898362223,31221141.898362223,31221141.898362223,31221141.898362223,31221141.898362223,31221141.898362223,81.2318033472,37829349.850466125,38434531.94263863,38434628.333509356,36084290.050615944,38432716.070999034,38434623.84727411,33701904.82355511,38379743.287265286,38434628.50066417,38434627.52686346,38434611.7141383,38434266.50155961,38426743.29731521,38258302.00931352,32866928.518081024,35177765.23273936,37186969.623669505,28494402.350479916,38434602.032839045,38434084.0902432,38420885.85152914,34783212.619593546,36957733.01301325,27272804.800212912,38182190.82998013,32630224.714429904,35043170.1082729,37488192.05859102,35255679.7579821,38434628.57142857,38434628.57142857,31443.0,0.363923611111,33598.0,50157470.99252028,362621146.30949086,1871.82533576468,13532.648985578957,272.8777903369852,1972.811929635658,6.846131004772,,
8,2020-09-03,8750.0,1620.0,10626.0,11612.0,229.0,9307.0,11296.0,31.0,5776.0,12970.0,11698.0,11497.0,11122.0,4140.0,21.0,8439.0,103.0,10240.0,793.0,6.0,7262.0,57.0,9819.0,424.0,5.0,10890.0,2741.0,16.0,1614335290.0,181944228.7639232,1.190165583471,1.190165583471,221329530.26932448,221329530.26932448,185965325.61789152,7105443.997952816,34533203.25798619,0.947157966787,0.897856470286,,0.897856470286,,0.0004736254501973577,4.860104909409703,,,7.22965371127995,0.0006333733805645531,0.0163858162103112,6.113847885377901,7.22965371127995,6.383806800000001e-05,37436275.99718252,37436275.99718252,34933905.09445842,37436275.99718252,37436275.99718252,37436275.99718252,37436275.99718252,37436275.99718252,37436275.99718252,37436275.99718252,37436275.99718252,37436275.99718252,82.2051303062,44806946.84176671,45539930.9776135,45540072.249839894,43133642.54216168,45537357.873880185,45540066.085939154,40812007.699341245,45466344.6988026,45540072.48432771,45540071.42824413,45540053.84123972,45539658.745873414,45531250.38465506,45353527.60722866,40061691.586217165,42288155.48676591,44242013.239011124,35642890.208738536,45540019.18081771,45539032.97351376,45514045.61946159,41647192.795902714,43720747.887455955,34200410.54037491,45153773.14265309,39435261.518422015,42257895.46074932,44638701.692742616,42524712.75938352,45540072.569381386,45540072.569381386,29426.0,0.34057870370399995,31284.0,50720882.54250664,246508810.25442943,2116.442909007008,10286.134572550312,285.00709539999997,1385.1643835701393,7.231857212862001,,
9,2020-09-04,7327.0,1451.0,10938.0,12043.0,192.0,9435.0,11695.0,27.0,5618.0,13524.0,12164.0,11947.0,11536.0,4302.0,20.0,8677.0,101.0,10601.0,803.0,6.0,7360.0,50.0,10115.0,383.0,5.0,11280.0,2720.0,14.0,1614335290.0,199371137.0128006,1.186903995979,1.186903995979,240669033.1069252,240669033.1069252,202770429.55648914,7262774.074644135,33102851.935283285,0.950888414392,1.397068149914,,1.397068149914,,0.00043524584733183215,4.557879894798363,,,4.8601049094097,0.000473625450197358,0.012671617441565001,4.11494074421285,4.8601049094097,7.4757256e-05,43742077.811293595,43742077.811293595,40717561.63423079,43742077.811293595,43742077.811293595,43742077.811293595,43742077.811293595,43742077.811293595,43742077.811293595,43742077.811293595,43742077.811293595,43742077.811293595,82.8403781072,51936779.57473909,52802660.11419323,52802846.18917765,50209615.12072094,52799120.406301014,52802838.11037824,48045007.62319516,52710804.54784229,52802846.55394347,52802845.471951924,52802826.10276253,52802407.96966484,52793437.264492616,52612988.80462459,47527762.75861983,49552093.17169644,51461549.56346961,42794577.58107334,52802786.507241376,52801657.20463652,52773512.484848894,48831686.704068236,50856152.587942794,41304685.18438542,52378003.953434154,46652569.85052488,49542093.17169643,51882096.13369967,49844495.91182094,52802846.64402552,52802846.64402552,23593.0,0.27306712963,24933.0,37795469.49609126,172267210.5306991,2097.8641056419306,9561.812629124504,242.7411636576596,1106.3850694752055,7.227741917098,,
